orderNumber,customerID,storeID,productName,unitsOrdered,orderTime
1,3,17,7up,45,2016-09-10 13:01:00
2,24,2,Pepsi,5,2016-09-10 13:01:00
3,75,7,Lemonade,44,2016-09-10 13:02:00
4,62,5,Brisk,49,2016-09-10 13:02:00
5,1,4,Orange Juice,20,2016-09-10 13:02:00
6,48,14,Donuts,31,2016-09-10 13:03:00
7,55,18,Pudding,27,2016-09-10 13:04:00
8,79,5,Ice Cream,24,2016-09-10 13:05:00
9,20,15,Hot and Sour Soup,19,2016-09-10 13:07:00
10,52,17,Egg,21,2016-09-10 13:08:00
11,23,20,7up,13,2016-09-10 13:09:00
12,12,15,Pepsi,48,2016-09-10 13:10:00
13,9,1,Lemonade,17,2016-09-10 13:11:00
14,31,9,Brisk,35,2016-09-10 13:11:00
15,67,8,Orange Juice,20,2016-09-10 13:12:00
16,12,15,Donuts,25,2016-09-10 13:12:00
17,49,5,Pudding,21,2016-09-10 13:13:00
18,20,17,Ice Cream,38,2016-09-10 13:13:00
19,78,4,Hot and Sour Soup,31,2016-09-10 13:14:00
20,32,17,Egg,5,2016-09-10 13:14:00
21,41,2,7up,16,2016-09-10 13:15:00
22,44,9,Pepsi,32,2016-09-10 13:17:00
23,69,8,Lemonade,36,2016-09-10 13:18:00
24,53,8,Brisk,21,2016-09-10 13:19:00
25,82,20,Orange Juice,6,2016-09-10 13:20:00
26,65,3,Donuts,29,2016-09-10 13:21:00
27,55,6,Pudding,32,2016-09-10 13:24:00
28,32,5,Ice Cream,35,2016-09-10 13:28:00
29,38,19,Hot and Sour Soup,20,2016-09-10 13:28:00
30,37,13,Egg,20,2016-09-10 13:29:00
31,20,17,7up,29,2016-09-10 13:31:00
32,95,9,Pepsi,14,2016-09-10 13:32:00
33,37,10,Lemonade,19,2016-09-10 13:33:00
34,13,1,Brisk,43,2016-09-10 13:33:00
35,90,6,Orange Juice,28,2016-09-10 13:34:00
36,100,4,Donuts,28,2016-09-10 13:35:00
37,61,5,Pudding,32,2016-09-10 13:36:00
38,33,18,Ice Cream,34,2016-09-10 13:36:00
39,68,19,Hot and Sour Soup,43,2016-09-10 13:39:00
40,27,2,Egg,43,2016-09-10 13:39:00
41,71,5,7up,11,2016-09-10 13:41:00
42,31,8,Pepsi,46,2016-09-10 13:42:00
43,59,7,Lemonade,40,2016-09-10 13:43:00
44,56,18,Brisk,28,2016-09-10 13:43:00
45,93,14,Orange Juice,47,2016-09-10 13:44:00
46,93,4,Donuts,40,2016-09-10 13:45:00
47,97,8,Pudding,29,2016-09-10 13:45:00
48,32,19,Ice Cream,21,2016-09-10 13:45:00
49,60,14,Hot and Sour Soup,7,2016-09-10 13:47:00
50,62,5,Egg,41,2016-09-10 13:48:00
51,5,7,7up,38,2016-09-10 13:48:00
52,75,12,Pepsi,7,2016-09-10 13:49:00
53,51,7,Lemonade,33,2016-09-10 13:50:00
54,9,10,Brisk,44,2016-09-10 13:51:00
55,99,19,Orange Juice,41,2016-09-10 13:52:00
56,62,12,Donuts,9,2016-09-10 13:52:00
57,42,16,Pudding,46,2016-09-10 13:52:00
58,37,8,Ice Cream,29,2016-09-10 13:52:00
59,91,18,Hot and Sour Soup,36,2016-09-10 13:54:00
60,63,14,Egg,28,2016-09-10 13:54:00
61,69,3,7up,48,2016-09-10 13:55:00
62,42,14,Pepsi,30,2016-09-10 13:56:00
63,17,5,Lemonade,24,2016-09-10 13:57:00
64,54,2,Brisk,31,2016-09-10 13:58:00
65,6,10,Orange Juice,25,2016-09-10 14:01:00
66,24,11,Donuts,46,2016-09-10 14:02:00
67,84,5,Pudding,8,2016-09-10 14:03:00
68,99,11,Ice Cream,16,2016-09-10 14:05:00
69,18,15,Hot and Sour Soup,19,2016-09-10 14:05:00
70,55,20,Egg,28,2016-09-10 14:07:00
71,88,13,7up,18,2016-09-10 14:08:00
72,45,7,Pepsi,26,2016-09-10 14:08:00
73,25,10,Lemonade,33,2016-09-10 14:08:00
74,81,2,Brisk,10,2016-09-10 14:08:00
75,54,7,Orange Juice,17,2016-09-10 14:09:00
76,79,1,Donuts,28,2016-09-10 14:09:00
77,35,11,Pudding,27,2016-09-10 14:10:00
78,67,6,Ice Cream,17,2016-09-10 14:11:00
79,17,14,Hot and Sour Soup,47,2016-09-10 14:12:00
80,37,6,Egg,7,2016-09-10 14:12:00
81,47,5,7up,13,2016-09-10 14:12:00
82,22,18,Pepsi,23,2016-09-10 14:13:00
83,8,7,Lemonade,8,2016-09-10 14:15:00
84,48,14,Brisk,47,2016-09-10 14:16:00
85,46,6,Orange Juice,50,2016-09-10 14:16:00
86,78,2,Donuts,48,2016-09-10 14:17:00
87,2,20,Pudding,28,2016-09-10 14:18:00
88,78,2,Ice Cream,31,2016-09-10 14:23:00
89,20,18,Hot and Sour Soup,42,2016-09-10 14:25:00
90,80,16,Egg,12,2016-09-10 14:26:00
91,63,7,7up,13,2016-09-10 14:27:00
92,83,5,Pepsi,42,2016-09-10 14:27:00
93,20,4,Lemonade,27,2016-09-10 14:28:00
94,69,18,Brisk,48,2016-09-10 14:29:00
95,4,4,Orange Juice,32,2016-09-10 14:29:00
96,30,2,Donuts,19,2016-09-10 14:29:00
97,90,9,Pudding,5,2016-09-10 14:30:00
98,55,7,Ice Cream,48,2016-09-10 14:32:00
99,44,10,Hot and Sour Soup,7,2016-09-10 14:33:00
100,86,15,Egg,11,2016-09-10 14:33:00
101,49,4,7up,47,2016-09-10 14:35:00
102,61,18,Pepsi,14,2016-09-10 14:36:00
103,82,5,Lemonade,26,2016-09-10 14:36:00
104,72,18,Brisk,50,2016-09-10 14:36:00
105,85,17,Orange Juice,15,2016-09-10 14:37:00
106,18,16,Donuts,37,2016-09-10 14:38:00
107,45,13,Pudding,36,2016-09-10 14:40:00
108,48,5,Ice Cream,23,2016-09-10 14:40:00
109,7,15,Hot and Sour Soup,43,2016-09-10 14:41:00
110,12,8,Egg,20,2016-09-10 14:41:00
111,27,16,7up,30,2016-09-10 14:42:00
112,62,9,Pepsi,39,2016-09-10 14:43:00
113,81,3,Lemonade,25,2016-09-10 14:45:00
114,33,5,Brisk,20,2016-09-10 14:46:00
115,67,8,Orange Juice,48,2016-09-10 14:46:00
116,45,15,Donuts,13,2016-09-10 14:47:00
117,67,10,Pudding,17,2016-09-10 14:47:00
118,63,14,Ice Cream,34,2016-09-10 14:50:00
119,9,16,Hot and Sour Soup,23,2016-09-10 14:51:00
120,6,17,Egg,21,2016-09-10 14:52:00
121,25,4,7up,31,2016-09-10 14:53:00
122,67,6,Pepsi,50,2016-09-10 14:53:00
123,84,14,Lemonade,46,2016-09-10 14:53:00
124,6,9,Brisk,10,2016-09-10 14:53:00
125,71,14,Orange Juice,13,2016-09-10 14:54:00
126,79,3,Donuts,50,2016-09-10 14:55:00
127,33,3,Pudding,20,2016-09-10 14:56:00
128,74,5,Ice Cream,41,2016-09-10 14:57:00
129,2,16,Hot and Sour Soup,29,2016-09-10 14:58:00
130,82,8,Egg,44,2016-09-10 14:59:00
131,74,2,7up,19,2016-09-10 14:59:00
132,32,6,Pepsi,23,2016-09-10 14:59:00
133,94,10,Lemonade,6,2016-09-10 15:00:00
134,8,6,Brisk,34,2016-09-10 15:02:00
135,64,4,Orange Juice,50,2016-09-10 15:02:00
136,16,6,Donuts,37,2016-09-10 15:02:00
137,2,3,Pudding,40,2016-09-10 15:02:00
138,53,14,Ice Cream,6,2016-09-10 15:03:00
139,66,4,Hot and Sour Soup,28,2016-09-10 15:04:00
140,66,2,Egg,46,2016-09-10 15:04:00
141,45,16,7up,38,2016-09-10 15:05:00
142,4,3,Pepsi,9,2016-09-10 15:05:00
143,28,14,Lemonade,13,2016-09-10 15:05:00
144,38,7,Brisk,10,2016-09-10 15:05:00
145,100,6,Orange Juice,50,2016-09-10 15:06:00
146,12,19,Donuts,11,2016-09-10 15:07:00
147,17,1,Pudding,39,2016-09-10 15:07:00
148,62,15,Ice Cream,50,2016-09-10 15:08:00
149,50,19,Hot and Sour Soup,25,2016-09-10 15:09:00
