updateNumber,managerID,storeID,productName,updatedOn
1,25,1,7up,2016-09-10 13:01:00
2,20,2,Pepsi,2016-09-10 13:01:00
3,10,3,Lemonade,2016-09-10 13:02:00
4,20,4,Brisk,2016-09-10 13:02:00
5,40,5,Orange Juice,2016-09-10 13:02:00
6,51,6,Donuts,2016-09-10 13:03:00
7,10,7,Pudding,2016-09-10 13:04:00
8,51,8,Ice Cream,2016-09-10 13:05:00
9,87,9,Hot and Sour Soup,2016-09-10 13:07:00
10,51,10,Egg,2016-09-10 13:08:00
11,87,11,7up,2016-09-10 13:09:00
12,10,12,Pepsi,2016-09-10 13:10:00
13,10,13,Lemonade,2016-09-10 13:11:00
14,40,14,Brisk,2016-09-10 13:11:00
15,40,15,Orange Juice,2016-09-10 13:12:00
16,40,16,Donuts,2016-09-10 13:12:00
17,20,17,Pudding,2016-09-10 13:13:00
18,51,18,Ice Cream,2016-09-10 13:13:00
19,25,19,Hot and Sour Soup,2016-09-10 13:14:00
20,25,20,Egg,2016-09-10 13:14:00
21,51,10,7up,2016-09-10 13:15:00
22,87,11,Pepsi,2016-09-10 13:17:00
23,10,12,Lemonade,2016-09-10 13:18:00
24,10,13,Brisk,2016-09-10 13:19:00
25,40,14,Orange Juice,2016-09-10 13:20:00
26,40,15,Donuts,2016-09-10 13:21:00
27,40,16,Pudding,2016-09-10 13:24:00
28,20,17,Ice Cream,2016-09-10 13:28:00
29,51,18,Hot and Sour Soup,2016-09-10 13:28:00
30,25,19,Egg,2016-09-10 13:29:00
31,25,20,7up,2016-09-10 13:31:00
32,51,10,Pepsi,2016-09-10 13:32:00
33,87,11,Lemonade,2016-09-10 13:33:00
34,10,12,Brisk,2016-09-10 13:33:00
35,10,13,Orange Juice,2016-09-10 13:34:00
36,40,14,Donuts,2016-09-10 13:35:00
37,40,15,Pudding,2016-09-10 13:36:00
38,40,16,Ice Cream,2016-09-10 13:36:00
39,20,17,Hot and Sour Soup,2016-09-10 13:39:00
40,51,18,Egg,2016-09-10 13:39:00
41,25,19,7up,2016-09-10 13:41:00
42,25,20,Pepsi,2016-09-10 13:42:00
43,51,10,Lemonade,2016-09-10 13:43:00
44,87,11,Brisk,2016-09-10 13:43:00
45,10,12,Orange Juice,2016-09-10 13:44:00
46,10,13,Donuts,2016-09-10 13:45:00
47,40,14,Pudding,2016-09-10 13:45:00
48,40,15,Ice Cream,2016-09-10 13:45:00
49,40,16,Hot and Sour Soup,2016-09-10 13:47:00
50,20,17,Hot and Sour Soup,2016-09-10 13:48:00
